integration_id,integration_name,capability,declared,disabled,spec
"agent-spec-langgraph","Open Agent Spec (LangGraph)","agentic_chat",true,false,true
"agent-spec-langgraph","Open Agent Spec (LangGraph)","human_in_the_loop",true,false,false
"agent-spec-langgraph","Open Agent Spec (LangGraph)","tool_based_generative_ui",true,false,false
"agent-spec-langgraph","Open Agent Spec (LangGraph)","backend_tool_rendering",true,false,false
"agent-spec-langgraph","Open Agent Spec (LangGraph)","v1_agentic_chat",true,false,false
"agent-spec-wayflow","Open Agent Spec (Wayflow)","agentic_chat",true,false,true
"agent-spec-wayflow","Open Agent Spec (Wayflow)","human_in_the_loop",true,false,false
"agent-spec-wayflow","Open Agent Spec (Wayflow)","tool_based_generative_ui",true,false,false
"agent-spec-wayflow","Open Agent Spec (Wayflow)","backend_tool_rendering",true,false,false
"agent-spec-wayflow","Open Agent Spec (Wayflow)","v1_agentic_chat",true,false,false
"langgraph","LangGraph (Python)","agentic_chat",true,false,true
"langgraph","LangGraph (Python)","agentic_generative_ui",true,false,true
"langgraph","LangGraph (Python)","human_in_the_loop",true,false,true
"langgraph","LangGraph (Python)","predictive_state_updates",true,false,true
"langgraph","LangGraph (Python)","shared_state",true,false,true
"langgraph","LangGraph (Python)","tool_based_generative_ui",true,false,true
"langgraph","LangGraph (Python)","backend_tool_rendering",true,false,true
"langgraph","LangGraph (Python)","agentic_chat_reasoning",true,false,true
"langgraph","LangGraph (Python)","agentic_chat_multimodal",true,false,true
"langgraph","LangGraph (Python)","subgraphs",true,false,true
"langgraph","LangGraph (Python)","v1_agentic_chat",true,false,true
"langgraph","LangGraph (Python)","a2ui_fixed_schema",true,false,true
"langgraph","LangGraph (Python)","a2ui_dynamic_schema",true,false,true
"langgraph","LangGraph (Python)","a2ui_advanced",true,false,true
"langgraph-fastapi","LangGraph (FastAPI)","agentic_chat",true,false,true
"langgraph-fastapi","LangGraph (FastAPI)","agentic_generative_ui",true,false,true
"langgraph-fastapi","LangGraph (FastAPI)","human_in_the_loop",true,false,true
"langgraph-fastapi","LangGraph (FastAPI)","predictive_state_updates",true,false,true
"langgraph-fastapi","LangGraph (FastAPI)","shared_state",true,false,true
"langgraph-fastapi","LangGraph (FastAPI)","tool_based_generative_ui",true,false,true
"langgraph-fastapi","LangGraph (FastAPI)","backend_tool_rendering",true,false,true
"langgraph-fastapi","LangGraph (FastAPI)","agentic_chat_reasoning",true,false,true
"langgraph-fastapi","LangGraph (FastAPI)","agentic_chat_multimodal",true,false,true
"langgraph-fastapi","LangGraph (FastAPI)","subgraphs",true,false,true
"langgraph-fastapi","LangGraph (FastAPI)","v1_agentic_chat",true,false,true
"langgraph-fastapi","LangGraph (FastAPI)","a2ui_fixed_schema",true,false,true
"langgraph-fastapi","LangGraph (FastAPI)","a2ui_dynamic_schema",true,false,true
"langgraph-fastapi","LangGraph (FastAPI)","a2ui_advanced",true,false,true
"langgraph-typescript","LangGraph (Typescript)","agentic_chat",true,false,true
"langgraph-typescript","LangGraph (Typescript)","agentic_generative_ui",true,false,true
"langgraph-typescript","LangGraph (Typescript)","human_in_the_loop",true,false,true
"langgraph-typescript","LangGraph (Typescript)","predictive_state_updates",true,false,true
"langgraph-typescript","LangGraph (Typescript)","shared_state",true,false,true
"langgraph-typescript","LangGraph (Typescript)","tool_based_generative_ui",true,false,true
"langgraph-typescript","LangGraph (Typescript)","backend_tool_rendering",false,true,false
"langgraph-typescript","LangGraph (Typescript)","agentic_chat_reasoning",true,false,true
"langgraph-typescript","LangGraph (Typescript)","agentic_chat_multimodal",true,false,true
"langgraph-typescript","LangGraph (Typescript)","subgraphs",true,false,true
"langgraph-typescript","LangGraph (Typescript)","v1_agentic_chat",true,false,true
"langgraph-typescript","LangGraph (Typescript)","a2ui_fixed_schema",true,false,true
"langgraph-typescript","LangGraph (Typescript)","a2ui_dynamic_schema",true,false,true
"langgraph-typescript","LangGraph (Typescript)","a2ui_advanced",true,false,true
"langgraph-typescript","LangGraph (Typescript)","a2ui_recovery",true,false,true
"mastra","Mastra","agentic_chat",true,false,true
"mastra","Mastra","human_in_the_loop",true,false,true
"mastra","Mastra","interrupt",true,false,true
"mastra","Mastra","shared_state",true,false,true
"mastra","Mastra","tool_based_generative_ui",true,false,true
"mastra","Mastra","backend_tool_rendering",true,false,true
"mastra","Mastra","agentic_chat_reasoning",true,false,true
"mastra","Mastra","agentic_chat_multimodal",true,false,true
"mastra","Mastra","v1_agentic_chat",true,false,true
"mastra","Mastra","a2ui_fixed_schema",true,false,true
"mastra","Mastra","a2ui_dynamic_schema",true,false,true
"mastra","Mastra","a2ui_recovery",true,false,true
"mastra","Mastra","observational_memory",true,false,true
"mastra-agent-local","Mastra Agent (Local)","agentic_chat",true,false,true
"mastra-agent-local","Mastra Agent (Local)","human_in_the_loop",true,false,true
"mastra-agent-local","Mastra Agent (Local)","interrupt",true,false,true
"mastra-agent-local","Mastra Agent (Local)","shared_state",true,false,true
"mastra-agent-local","Mastra Agent (Local)","tool_based_generative_ui",true,false,true
"mastra-agent-local","Mastra Agent (Local)","backend_tool_rendering",true,false,true
"mastra-agent-local","Mastra Agent (Local)","v1_agentic_chat",true,false,true
"mastra-agent-local","Mastra Agent (Local)","a2ui_fixed_schema",true,false,true
"mastra-agent-local","Mastra Agent (Local)","a2ui_dynamic_schema",true,false,true
"mastra-agent-local","Mastra Agent (Local)","a2ui_recovery",true,false,true
"mastra-agent-local","Mastra Agent (Local)","background_agents",true,false,true
"mastra-agent-local","Mastra Agent (Local)","observational_memory",true,false,true
"spring-ai","Spring AI","agentic_chat",true,false,true
"spring-ai","Spring AI","agentic_generative_ui",true,false,false
"spring-ai","Spring AI","human_in_the_loop",true,false,false
"spring-ai","Spring AI","shared_state",true,false,false
"spring-ai","Spring AI","tool_based_generative_ui",true,false,false
